@relation RhymeFeatures-weka.filters.unsupervised.attribute.Remove-R26

@attribute class {BDP,Rakim,Nas,2Pac,RunDMC,50Cent,LilWayne,KoolGRap,BigDaddyKane,PublicEnemy,BIG,IceCube,LLCoolJ,Scarface,Fabolous,JayZ,BeastieBoys,Eminem,SlickRick,Redman,Andre3k,Nelly,DMX,BoneThugs,MCHammer}
@attribute Syllables_per_Line numeric
@attribute Syllables_per_Word numeric
@attribute Syllable_Variation numeric
@attribute Novel_Word_Proportion numeric
@attribute Rhymes_per_Line numeric
@attribute Rhymes_per_Syllable numeric
@attribute Rhyme_Density numeric
@attribute End_Pairs_per_Line numeric
@attribute End_Pairs_Grown numeric
@attribute End_Pairs_Shrunk numeric
@attribute End_Pairs_Even numeric
@attribute Average_End_Score numeric
@attribute Average_End_Syl_Score numeric
@attribute Singles_per_Rhyme numeric
@attribute Doubles_per_Rhyme numeric
@attribute Triples_per_Rhyme numeric
@attribute Quads_per_Rhyme numeric
@attribute Longs_per_Rhyme numeric
@attribute Perfect_Rhymes numeric
@attribute Line_Internals_per_Line numeric
@attribute Links_per_Line numeric
@attribute Bridges_per_Line numeric
@attribute Compounds_per_Line numeric
@attribute Chaining_per_Line numeric

@data
BDP,12.020408,1.415865,1.731931,0.908446,1.673469,0.139219,0.247878,0.469388,0.086957,0.217391,0.695652,7.019046,3.843763,0.45122,0.365854,0.146341,0.02439,0.012195,0.073171,0.632653,0.22449,0.346939,0.061224,0.040816
BDP,11.315068,1.264931,2.504116,0.927596,1.506849,0.133172,0.18523,0.410959,0.266667,0.166667,0.566667,5.572585,4.077501,0.7,0.245455,0.036364,0,0.018182,0.218182,0.534247,0.246575,0.315068,0.150685,0.109589
BDP,12.134615,1.230019,2.609368,0.906435,1.615385,0.133122,0.169572,0.442308,0.217391,0.217391,0.565217,5.991458,4.30636,0.761905,0.202381,0.035714,0,0,0.190476,0.403846,0.288462,0.480769,0.153846,0.134615
BDP,11.075472,1.287281,2.007994,0.915485,1.735849,0.156729,0.240204,0.45283,0.083333,0.208333,0.708333,4.818393,3.504286,0.608696,0.282609,0.076087,0.032609,0,0.173913,0.641509,0.339623,0.301887,0.150943,0.09434
BDP,12.333333,1.3024,1.708564,0.928695,1.712121,0.138821,0.181818,0.424242,0.142857,0.107143,0.75,5.235871,4.311894,0.761062,0.20354,0.017699,0.00885,0.00885,0.19469,0.681818,0.287879,0.318182,0.075758,0.19697
BDP,11.982143,1.266038,1.827284,0.913551,1.642857,0.137109,0.18927,0.5,0.178571,0.142857,0.678571,4.598828,3.902036,0.728261,0.206522,0.021739,0.043478,0,0.130435,0.571429,0.142857,0.428571,0.107143,0.178571
BDP,11.76087,1.252315,2.168798,0.924467,1.717391,0.146026,0.231054,0.5,0.26087,0.173913,0.565217,5.463782,4.053774,0.632911,0.265823,0.037975,0.012658,0.050633,0.21519,0.521739,0.152174,0.543478,0.021739,0
BDP,10.62069,1.249493,1.551724,0.920591,1.362069,0.128247,0.201299,0.5,0.172414,0.310345,0.517241,6.852203,4.319867,0.582278,0.35443,0.050633,0,0.012658,0.227848,0.37931,0.206897,0.275862,0.051724,0.051724
BDP,12.458824,1.386126,2.089486,0.933413,1.505882,0.120869,0.177526,0.482353,0.195122,0.195122,0.609756,5.81609,4.258209,0.59375,0.359375,0.039063,0,0.007813,0.25,0.529412,0.188235,0.305882,0.023529,0.011765
BDP,10.554054,1.265802,1.980594,0.912957,1.486486,0.140845,0.192061,0.540541,0.25,0.325,0.425,5.301934,3.720655,0.663636,0.309091,0.027273,0,0,0.190909,0.472973,0.297297,0.175676,0.054054,0.067568
BDP,10.921875,1.275547,2.167261,0.874738,2.140625,0.195994,0.356223,0.546875,0.342857,0.285714,0.371429,6.332148,4.029549,0.49635,0.321168,0.087591,0.058394,0.036496,0.189781,0.734375,0.28125,0.578125,0.046875,0.609375
BDP,11.73913,1.275591,2.130878,0.921454,1.507246,0.128395,0.176543,0.405797,0.214286,0.142857,0.642857,5.996105,4.418183,0.721154,0.201923,0.057692,0.019231,0,0.259615,0.594203,0.130435,0.376812,0.043478,0.144928
BDP,11.238095,1.277978,2.549287,0.860403,1.68254,0.149718,0.272599,0.444444,0.357143,0.142857,0.5,4.59644,3.300008,0.688679,0.179245,0.037736,0.037736,0.056604,0.188679,0.666667,0.174603,0.396825,0.079365,0.222222
BDP,10.125,1.288636,1.722358,0.922847,1.428571,0.141093,0.231041,0.392857,0.318182,0.363636,0.318182,5.395157,4.239052,0.625,0.225,0.0625,0.0625,0.025,0.25,0.446429,0.214286,0.375,0.017857,0
BDP,11,1.326633,2.327373,0.91945,1.645833,0.149621,0.217803,0.416667,0.2,0.25,0.55,4.834343,4.028619,0.746835,0.189873,0.012658,0.037975,0.012658,0.202532,0.458333,0.25,0.520833,0.0625,0.041667
BDP,10.205479,1.31162,2.299249,0.918558,1.931507,0.189262,0.255034,0.493151,0.277778,0.5,0.222222,5.372598,3.947215,0.70922,0.248227,0.035461,0,0.007092,0.212766,0.657534,0.273973,0.506849,0.109589,0.30137
BDP,10.403846,1.37659,1.914114,0.932713,1.269231,0.121996,0.195933,0.5,0.192308,0.269231,0.538462,4.99142,3.707912,0.621212,0.242424,0.075758,0.045455,0.015152,0.136364,0.307692,0.115385,0.346154,0.038462,0.115385
BDP,14.716667,1.31791,3.733147,0.893836,2.6,0.17667,0.276331,0.533333,0.15625,0.15625,0.6875,5.194239,4.05404,0.628205,0.262821,0.064103,0.025641,0.019231,0.173077,0.766667,0.3,1,0.266667,0.25
Rakim,11.046875,1.339015,2.502684,0.923945,1.625,0.1471,0.237624,0.546875,0.257143,0.342857,0.4,5.874449,3.953956,0.625,0.192308,0.144231,0.019231,0.019231,0.182692,0.65625,0.1875,0.234375,0.078125,0.4375
Rakim,11.232143,1.296907,2.259828,0.908639,1.910714,0.170111,0.248013,0.535714,0.266667,0.233333,0.5,5.137405,3.584236,0.691589,0.17757,0.121495,0,0.009346,0.102804,0.75,0.196429,0.428571,0.089286,0.160714
